feature,importance_gain,importance_relative
PAY_0,30651.0604596138,0.36335714269849956
PAY_2,16815.749116420746,0.19934457273764578
PAY_3,4758.247154712677,0.05640728459192267
LIMIT_BAL,4083.0068259239197,0.048402556767684464
BILL_AMT1,3575.8797974586487,0.04239075080452323
PAY_5,3051.4765300750732,0.036174141329972806
PAY_AMT2,2952.905342102051,0.03500561584742167
PAY_AMT3,2734.7494111061096,0.032419456851263566
PAY_AMT1,2406.550395488739,0.028528777221815904
BILL_AMT2,2278.5944385528564,0.02701190602041864
PAY_4,1871.5916695594788,0.022187036635991655
PAY_6,1621.888590812683,0.019226897709118215
PAY_AMT4,1551.4454169273376,0.01839181957473137
AGE,1489.4960489273071,0.017657432411255312
PAY_AMT6,1274.6314458847046,0.015110290907571393
BILL_AMT5,1157.0282406806946,0.013716147802101404
BILL_AMT6,936.0150828361511,0.01109611742374047
PAY_AMT5,917.0971190929413,0.010871851863321647
SEX,227.77594900131226,0.0027002008010002404
