feature,importance_gain,importance_relative
PAY_0,23.06819810089802,0.23068198100898019
LIMIT_BAL,10.470133706285022,0.10470133706285022
BILL_AMT1,9.088402575481226,0.09088402575481226
PAY_2,5.742688003351007,0.05742688003351007
PAY_3,4.989011455198533,0.049890114551985325
PAY_AMT3,4.713390180508937,0.04713390180508937
PAY_AMT2,4.677842562094655,0.04677842562094656
BILL_AMT2,4.092568252077203,0.04092568252077203
PAY_AMT1,4.0831855907267345,0.040831855907267345
PAY_4,3.949321300144622,0.03949321300144622
AGE,3.416062499156989,0.03416062499156989
PAY_AMT6,3.2738561156255637,0.03273856115625564
PAY_6,3.129428475892892,0.03129428475892892
PAY_5,2.978127518018945,0.02978127518018945
PAY_AMT4,2.8508956465757294,0.028508956465757292
BILL_AMT5,2.588929531913477,0.02588929531913477
BILL_AMT6,2.554826554801992,0.02554826554801992
PAY_AMT5,2.199398170112945,0.02199398170112945
SEX,2.1337337611355127,0.021337337611355128
