feature,importance_gain,importance_relative
PAY_0,129.01234436035156,0.4915965177239313
PAY_2,49.961265563964844,0.19037545820982518
PAY_3,11.63424015045166,0.044331819351727635
PAY_4,9.050835609436035,0.03448785688029014
PAY_5,8.001818656921387,0.030490618604787127
PAY_6,7.353447437286377,0.028020025303461583
PAY_AMT2,5.216509819030762,0.01987730766712834
LIMIT_BAL,4.9300456047058105,0.018785746926077682
PAY_AMT3,4.496984958648682,0.017135586186650124
BILL_AMT1,4.377015590667725,0.016678447578516248
PAY_AMT1,3.9544427394866943,0.01506825017333593
BILL_AMT2,3.4711902141571045,0.013226835231136559
PAY_AMT4,3.4011621475219727,0.012959996008336187
PAY_AMT5,3.1952545642852783,0.012175393175219871
PAY_AMT6,3.0279879570007324,0.01153803027727187
SEX,2.987086296081543,0.011382176090010254
BILL_AMT5,2.8885457515716553,0.011006691179819223
BILL_AMT6,2.8135769367218018,0.010721025428213795
AGE,2.661677360534668,0.010142218004260923
