2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Log file: artifacts/logs/train_20260516_052713.log
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | ============================================================
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Auto-ML training pipeline started
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | ============================================================
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Loading train data: /tmp/auto_ml_smoke/train.parquet
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Train: 240 rows × 5 cols | target 'target': 129/240 positive (53.75%) | missing 0.00%
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Loading test data:  /tmp/auto_ml_smoke/test.parquet
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Test:  60 rows × 5 cols | target 'target': 27/60 positive (45.00%) | missing 0.00%
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Features — total=3, numeric=2, categorical=1
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Sizes — train=240, test=60
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Step 1/4: preprocessing (null -> outlier -> scaling)
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Step 2/4: feature selection disabled — using all features
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Step 3/4: model training (3 algorithms)
2026-05-16 05:27:13 | INFO    | auto_ml.trainer | === Training pipeline: lgbm ===
2026-05-16 05:27:13 | INFO    | auto_ml.trainer |   fold 1/2 done (best_iter=2)
2026-05-16 05:27:13 | INFO    | auto_ml.trainer |   fold 2/2 done (best_iter=6)
2026-05-16 05:27:13 | INFO    | auto_ml.trainer | Best model: lgbm (roc_auc=0.9815)
2026-05-16 05:27:13 | INFO    | auto_ml.pipeline | Step 4/4: report generation
2026-05-16 05:27:14 | INFO    | auto_ml.report | HTML report written: /tmp/auto_ml_smoke/artifacts/reports/report.html
2026-05-16 05:27:14 | INFO    | auto_ml.pipeline | Saved artifact: /tmp/auto_ml_smoke/artifacts/models/best.joblib
2026-05-16 05:27:14 | INFO    | auto_ml.pipeline | Wrote test predictions: /tmp/auto_ml_smoke/artifacts/predictions/test_predictions.parquet (rows=60, id_cols=['client_id'])
2026-05-16 05:27:14 | INFO    | auto_ml.pipeline | ============================================================
2026-05-16 05:27:14 | INFO    | auto_ml.pipeline | Pipeline completed in 0.6s — best=lgbm, roc_auc=0.9815
2026-05-16 05:27:14 | INFO    | auto_ml.pipeline |   log_file     : artifacts/logs/train_20260516_052713.log
2026-05-16 05:27:14 | INFO    | auto_ml.pipeline |   report_html  : /tmp/auto_ml_smoke/artifacts/reports/report.html
2026-05-16 05:27:14 | INFO    | auto_ml.pipeline |   artifact     : /tmp/auto_ml_smoke/artifacts/models/best.joblib
2026-05-16 05:27:14 | INFO    | auto_ml.pipeline |   test_predictions : /tmp/auto_ml_smoke/artifacts/predictions/test_predictions.parquet
2026-05-16 05:27:14 | INFO    | auto_ml.pipeline | ============================================================
